drug_name,adr_category,description
c1=cc(=cc=c1c(=o)nc(ccc(=o)o)c(=o)o)ncc2=cn=c3c(=n2)c(=o)n=c(n3)n,Metabolism and nutrition disorders,1
cc(cc1=cc=c(c=c1)oc)ncc(c2=cc(=c(c=c2)o)nc=o)o,Metabolism and nutrition disorders,1
c(=o)([o-])p(=o)([o-])[o-],Metabolism and nutrition disorders,1
cc1c(o1)p(=o)(o)o,Metabolism and nutrition disorders,1
ccc(=o)oc(c(c)c)op(=o)(ccccc1=cc=cc=c1)cc(=o)n2cc(cc2c(=o)[o-])c3ccccc3,Metabolism and nutrition disorders,1
c1=coc(=c1)cnc2=cc(=c(c=c2c(=o)o)s(=o)(=o)n)cl,Metabolism and nutrition disorders,1
cc1=nc=c(c(=n1)n)cn(c=o)c(=c(cco)sscc2ccco2)c,Metabolism and nutrition disorders,1
cc1c2ccc3(c(c2(ccc1o)c)c(cc4c3(cc(c4=c(ccc=c(c)c)c(=o)o)oc(=o)c)c)o)c,Metabolism and nutrition disorders,0
c1ccc(cc1)(cc(=o)o)cn,Metabolism and nutrition disorders,1
ccoc(=o)c1=cc=c(c=c1)oc(=o)cccccn=c(n)n,Metabolism and nutrition disorders,1
cn1ccc23c=cc(cc2oc4=c(c=cc(=c34)c1)oc)o,Metabolism and nutrition disorders,1
c1=nc2=c(n1coc(co)co)nc(=nc2=o)n,Metabolism and nutrition disorders,1
c1=cn(c(=o)n=c1n)c2c(c(c(o2)co)o)(f)f,Metabolism and nutrition disorders,1
cc1=cc(=c(c=c1)c)occcc(c)(c)c(=o)o,Metabolism and nutrition disorders,1
cc(c1ccc(c(o1)oc2c(cc(c(c2o)oc3c(c(c(co3)(c)o)nc)o)n)n)n)nc,Metabolism and nutrition disorders,1
cc1=cc=c(c=c1)s(=o)(=o)nc(=o)nn2cc3cccc3c2,Metabolism and nutrition disorders,1
ccc1=c(cn(c1=o)c(=o)nccc2=cc=c(c=c2)s(=o)(=o)nc(=o)nc3ccc(cc3)c)c,Metabolism and nutrition disorders,1
cc1=nc=c(n=c1)c(=o)nccc2=cc=c(c=c2)s(=o)(=o)nc(=o)nc3ccccc3,Metabolism and nutrition disorders,1
coc1=c(c=c(c=c1)cl)c(=o)nccc2=cc=c(c=c2)s(=o)(=o)nc(=o)nc3ccccc3,Metabolism and nutrition disorders,1
c[n+]1(ccc(c1)oc(=o)c(c2cccc2)(c3=cc=cc=c3)o)c,Metabolism and nutrition disorders,1
cc1(c2ccc3(c(c2(ccc1oc4c(c(c(c(o4)c(=o)o)o)o)oc5c(c(c(c(o5)c(=o)o)o)o)o)c)c(=o)c=c6c3(ccc7(c6cc(cc7)(c)c(=o)o)c)c)c)c,Metabolism and nutrition disorders,1
cn1c2cccc1cc(c2)nc(=o)c3=nn(c4=cc=cc=c43)c,Metabolism and nutrition disorders,1
coc1=cc=cc=c1occ(co)o,Metabolism and nutrition disorders,1
c1=cc(=c(c(=c1)cl)cc(=o)n=c(n)n)cl,Metabolism and nutrition disorders,1
c1cn(ccc1(c2=cc=c(c=c2)cl)o)cccc(=o)c3=cc=c(c=c3)f,Metabolism and nutrition disorders,1
cc(=o)oc1c=cc2c3cc4=c5c2(c1oc5=c(c=c4)oc(=o)c)ccn3c,Metabolism and nutrition disorders,1
ccccc(cc)cn1cc(cn(c1)cc(cc)cccc)(c)n,Metabolism and nutrition disorders,1
cccc[n+]1(c2cc(cc1c3c2o3)oc(=o)c(co)c4=cc=cc=c4)c,Metabolism and nutrition disorders,1
c1=cc=c2c(=c1)c=nn=c2nn,Metabolism and nutrition disorders,1
c1nc2=cc(=c(c=c2s(=o)(=o)n1)s(=o)(=o)n)cl,Metabolism and nutrition disorders,1
cc12ccc(=o)c=c1ccc3c2c(cc4(c3ccc4(c(=o)co)o)c)o,Metabolism and nutrition disorders,1
cc(=o)occ(=o)c1(ccc2c1(cc(c3c2ccc4=cc(=o)ccc34c)o)c)o,Metabolism and nutrition disorders,1
cccc(=o)oc1(ccc2c1(cc(c3c2ccc4=cc(=o)ccc34c)o)c)c(=o)co,Metabolism and nutrition disorders,1
cc12ccc(=o)c=c1ccc3c2c(cc4(c3ccc4(c(=o)coc(=o)ccc(=o)o)o)c)o,Metabolism and nutrition disorders,1
cn1ccc23c4c1cc5=c2c(=c(c=c5)o)oc3c(=o)cc4,Metabolism and nutrition disorders,1
ccn(cccc(c)nc1=c2c=cc(=cc2=nc=c1)cl)cco,Metabolism and nutrition disorders,1
c(=o)(n)no,Metabolism and nutrition disorders,1
c1cn(ccn1ccocco)c(c2=cc=cc=c2)c3=cc=c(c=c3)cl,Metabolism and nutrition disorders,1
cn1c2ccc1cc(c2)oc(=o)c(co)c3=cc=cc=c3,Metabolism and nutrition disorders,1
cc(c)c1=nn2c=cc=cc2=c1c(=o)c(c)c,Metabolism and nutrition disorders,1
cc(c)cc1=cc=c(c=c1)c(c)c(=o)o,Metabolism and nutrition disorders,1
c1=cc=c(c=c1)ccnn,Metabolism and nutrition disorders,1
ccn(cc)cc(=o)nc1=c(c=cc=c1c)c,Metabolism and nutrition disorders,1
cc1cc2c3ccc4=cc(=o)c=cc4(c3(c(cc2(c1(c(=o)coc(=o)c)o)c)o)f)c,Metabolism and nutrition disorders,1
cc1c(c(cc(o1)oc2cc(cc3=c(c4=c(c(=c23)o)c(=o)c5=cc=cc=c5c4=o)o)(c(=o)c)o)n)o,Metabolism and nutrition disorders,1
cc(c(c1=cc=c(c=c1)o)o)n2ccc(cc2)cc3=cc=cc=c3,Metabolism and nutrition disorders,1
c1cn(p(=o)(oc1)ncccl)cccl,Metabolism and nutrition disorders,1
ccoc(=o)c(ccc1=cc=cc=c1)nc(c)c(=o)n2c(cn(c2=o)c)c(=o)o,Metabolism and nutrition disorders,1
cc(c1c2cc(=c(n2c1=o)c(=o)o)sccn=cn)o,Metabolism and nutrition disorders,1
cn(c)cccn1c2=cc=cc=c2ccc3=cc=cc=c31,Metabolism and nutrition disorders,1
c1=cn=cc=c1c2=cnc(=o)c(=c2)n,Metabolism and nutrition disorders,1
c1cccc(cc1)nc(p(=o)(o)o)p(=o)(o)o,Metabolism and nutrition disorders,0
cc1cc2=cc=cc=c2n1nc(=o)c3=cc(=c(c=c3)cl)s(=o)(=o)n,Metabolism and nutrition disorders,1
cc(c)(c)nc(=o)c1cn(ccn1cc(cc(cc2=cc=cc=c2)c(=o)nc3c(cc4=cc=cc=c34)o)o)cc5=cn=cc=c5,Metabolism and nutrition disorders,1
cc1=c(c2=c(n1c(=o)c3=cc=c(c=c3)cl)c=cc(=c2)oc)cc(=o)o,Metabolism and nutrition disorders,1
cc(=o)n(cc(cn(c1=c(c(=c(c(=c1i)c(=o)ncc(co)o)i)c(=o)ncc(co)o)i)c(=o)c)o)c2=c(c(=c(c(=c2i)c(=o)ncc(co)o)i)c(=o)ncc(co)o)i,Metabolism and nutrition disorders,1
cc(=o)n(cc(co)o)c1=c(c(=c(c(=c1i)c(=o)ncc(co)o)i)c(=o)ncc(co)o)i,Metabolism and nutrition disorders,1
cc(c(=o)nc1=c(c(=c(c(=c1i)c(=o)nc(co)co)i)c(=o)nc(co)co)i)o,Metabolism and nutrition disorders,1
cn(cc(co)o)c(=o)c1=c(c(=c(c(=c1i)c(=o)ncc(co)o)i)nc(=o)coc)i,Metabolism and nutrition disorders,1
c(co)n(c1=c(c(=c(c(=c1i)c(=o)ncc(co)o)i)c(=o)ncc(co)o)i)c(=o)co,Metabolism and nutrition disorders,1
cc(c)[n+]1(c2ccc1cc(c2)oc(=o)c(co)c3=cc=cc=c3)c,Metabolism and nutrition disorders,1
ccccc1=nc2(cccc2)c(=o)n1cc3=cc=c(c=c3)c4=cc=cc=c4c5=nnn=n5,Metabolism and nutrition disorders,1
ccc1=c2c=c(c=cc2=nc3=c1cn4c3=cc5=c(c4=o)coc(=o)c5(cc)o)oc(=o)n6ccc(cc6)n7ccccc7,Metabolism and nutrition disorders,1
c1=cc(=c(c=c1cl)c2=nc(=nc(=n2)n)n)cl,Metabolism and nutrition disorders,1
cc1(coc(c(c1nc)o)oc2c(cc(c(c2o)oc3c(c(c(c(o3)cn)o)o)o)n)nc(=o)c(cn)o)o,Metabolism and nutrition disorders,1
c(c(f)(f)f)(oc(f)f)cl,Metabolism and nutrition disorders,1
c1=cn=cc=c1c(=o)nn,Metabolism and nutrition disorders,1
c1c(c2c(o1)c(co2)o[n+](=o)[o-])o[n+](=o)[o-],Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c)c(=o)oc(c)c)c2=cc=cc3=non=c32)c(=o)oc,Metabolism and nutrition disorders,1
cn(c)ccoc1=cc=c(c=c1)cnc(=o)c2=cc(=c(c=c2)oc)oc,Metabolism and nutrition disorders,1
ccc(c)n1c(=o)n(c=n1)c2=cc=c(c=c2)n3ccn(cc3)c4=cc=c(c=c4)occ5coc(o5)(cn6c=nc=n6)c7=c(c=c(c=c7)cl)cl,Metabolism and nutrition disorders,1
cc1=c(c(=cc=c1)c)occ(=o)nc(cc2=cc=cc=c2)c(cc(cc3=cc=cc=c3)nc(=o)c(c(c)c)n4cccnc4=o)o,Metabolism and nutrition disorders,1
cnc1(ccccc1=o)c2=cc=cc=c2cl,Metabolism and nutrition disorders,1
cc(=o)n1ccn(cc1)c2=cc=c(c=c2)occ3coc(o3)(cn4c=cn=c4)c5=c(c=c(c=c5)cl)cl,Metabolism and nutrition disorders,1
cc(c1=cc=cc(=c1)c(=o)c2=cc=cc=c2)c(=o)o,Metabolism and nutrition disorders,1
c1cn2c(=cc=c2c(=o)c3=cc=cc=c3)c1c(=o)o,Metabolism and nutrition disorders,1
cn1ccc(=c2c3=c(c(=o)cc4=cc=cc=c42)sc=c3)cc1,Metabolism and nutrition disorders,1
cc(ccc1=cc=cc=c1)ncc(c2=cc(=c(c=c2)o)c(=o)n)o,Metabolism and nutrition disorders,1
c(c1c(c(c(c(o1)oc2c(oc(c2o)(co)o)co)o)o)o)o,Metabolism and nutrition disorders,1
c1ccn(cc1)cc2=cc(=nc=c2)occ=ccnc(=o)cs(=o)cc3=cc=co3,Metabolism and nutrition disorders,1
c1c(oc(s1)co)n2c=cc(=nc2=o)n,Metabolism and nutrition disorders,1
c1=cc(=c(c(=c1)cl)cl)c2=c(n=c(n=n2)n)n,Metabolism and nutrition disorders,1
cc1=c(c=cn=c1cs(=o)c2=nc3=cc=cc=c3n2)occ(f)(f)f,Metabolism and nutrition disorders,1
cc(c)oc(=o)cccc=ccc1c(cc(c1ccc(ccc2=cc=cc=c2)o)o)o,Metabolism and nutrition disorders,1
cc1=c(c=no1)c(=o)nc2=cc=c(c=c2)c(f)(f)f,Metabolism and nutrition disorders,1
c1=cc(=cc=c1c#n)c(c2=cc=c(c=c2)c#n)n3c=nc=n3,Metabolism and nutrition disorders,1
ccnc(=o)c1cccn1c(=o)c(cccn=c(n)n)nc(=o)c(cc(c)c)nc(=o)c(cc(c)c)nc(=o)c(cc2=cc=c(c=c2)o)nc(=o)c(co)nc(=o)c(cc3=cnc4=cc=cc=c43)nc(=o)c(cc5=cn=cn5)nc(=o)c6ccc(=o)n6,Metabolism and nutrition disorders,1
cc(c)(c)ncc(coc1=cc=cc2=c1cccc2=o)o,Metabolism and nutrition disorders,1
cc1cn(ccc1(c2=cc=cc=c2)c(=o)o)c3ccc(cc3)(c#n)c4=cc=c(c=c4)f,Metabolism and nutrition disorders,1
cc(cn1c2=cc=cc=c2sc3=c1c=c(c=c3)oc)cn(c)c,Metabolism and nutrition disorders,1
ccccc(c)cc(c=cc1c(cc(=o)c1ccccc=cc(=o)o)o)o,Metabolism and nutrition disorders,1
cc(=o)ncc1cn(c(=o)o1)c2=cc(=c(c=c2)n3ccocc3)f,Metabolism and nutrition disorders,1
c1cc(n(c1)c(=o)c(ccccn)nc(ccc2=cc=cc=c2)c(=o)o)c(=o)o,Metabolism and nutrition disorders,1
cn(cccn1c2=cc=cc=c2ccc3=cc=cc=c31)cc(=o)c4=cc=c(c=c4)cl,Metabolism and nutrition disorders,1
c1ccc(cc1)nc(=o)n(cccl)n=o,Metabolism and nutrition disorders,1
cn(c)c(=o)c(cc[nh+]1ccc(cc1)(c2=cc=c(c=c2)cl)o)(c3=cc=cc=c3)c4=cc=cc=c4,Metabolism and nutrition disorders,1
ccoc(=o)n1ccc(=c2c3=c(ccc4=c2n=cc=c4)c=c(c=c3)cl)cc1,Metabolism and nutrition disorders,1
c1=cc=c(c(=c1)c2=nc(c(=o)nc3=c2c=c(c=c3)cl)o)cl,Metabolism and nutrition disorders,1
ccccc1=nc(=c(n1cc2=cc=c(c=c2)c3=cc=cc=c3c4=nnn=n4)co)cl,Metabolism and nutrition disorders,1
ccc(c)c(=o)oc1cc(c=c2c1c(c(c=c2)c)ccc3cc(cc(=o)o3)o)c,Metabolism and nutrition disorders,1
cn1ccn(cc1)c2=nc3=cc=cc=c3oc4=c2c=c(c=c4)cl,Metabolism and nutrition disorders,1
cc(c1=cc=c(c=c1)cc2cccc2=o)c(=o)o,Metabolism and nutrition disorders,1
cc(=cccc(=cc=cc(=cc=cc(=cc=cc=c(c)c=cc=c(c)c=cc=c(c)ccc=c(c)c)c)c)c)c,Metabolism and nutrition disorders,1
ccn(cc)c(=o)c1cn(c2cc3=cnc4=cc=cc(=c34)c2=c1)c,Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c)c(=o)occn2ccn(cc2)c(c3=cc=cc=c3)c4=cc=cc=c4)c5=cc(=cc=c5)[n+](=o)[o-])c(=o)oc,Metabolism and nutrition disorders,1
cncccc12ccc(c3=cc=cc=c31)c4=cc=cc=c24,Metabolism and nutrition disorders,1
cc(c1ccc2c1(cccc2=cc=c3cc(cc(c3=c)o)o)c)occc(c)(c)o,Metabolism and nutrition disorders,1
cc1=nn(c(=o)c1)c2=cc=cc=c2,Metabolism and nutrition disorders,0
coc(=o)nc1=nc2=c(n1)c=c(c=c2)c(=o)c3=cc=cc=c3,Metabolism and nutrition disorders,0
ccn(ccccoc(=o)c1=cc(=c(c=c1)oc)oc)c(c)cc2=cc=c(c=c2)oc,Metabolism and nutrition disorders,1
cc1=cc(=cc=c1)cn2ccn(cc2)c(c3=cc=cc=c3)c4=cc=c(c=c4)cl,Metabolism and nutrition disorders,1
cc1cc2c(ccc3(c2ccc3(c(=o)c)oc(=o)c)c)c4(c1=cc(=o)cc4)c,Metabolism and nutrition disorders,1
cc1=c(c(=cc=c1)nc2=cc=cc=c2c(=o)o)c,Metabolism and nutrition disorders,1
c1ccnc(c1)c(c2=cc(=nc3=c2c=cc=c3c(f)(f)f)c(f)(f)f)o,Metabolism and nutrition disorders,1
cc1=cc2c(ccc3(c2ccc3(c(=o)c)oc(=o)c)c)c4(c1=cc(=o)cc4)c,Metabolism and nutrition disorders,1
cc1=cn=c(s1)nc(=c2c(=o)c3=cc=cc=c3s(=o)(=o)n2c)o,Metabolism and nutrition disorders,1
c1=cc(=cc=c1cc(c(=o)o)n)n(cccl)cccl,Metabolism and nutrition disorders,1
cc12cc3cc(c1)(cc(c3)(c2)n)c,Metabolism and nutrition disorders,1
cc1=c(c(=o)c2=cc=cc=c2c1=o)cc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)c,Metabolism and nutrition disorders,1
ccoc(=o)c1(ccn(cc1)c)c2=cc=cc=c2,Metabolism and nutrition disorders,1
cc1=c(c(=cc=c1)c)nc(=o)c2ccccn2c,Metabolism and nutrition disorders,1
cc1cc2c3ccc4=cc(=o)c=cc4(c3c(=o)cc2(c1(c(=o)co)o)c)c,Metabolism and nutrition disorders,1
cccc(c)(coc(=o)n)coc(=o)n,Metabolism and nutrition disorders,1
c1cn2ccc1c(c2)cn3c4=cc=cc=c4sc5=cc=cc=c53,Metabolism and nutrition disorders,1
c1=cc(=c(c=c1n)c(=o)o)o,Metabolism and nutrition disorders,1
cc1(c(n2c(s1)c(c2=o)nc(=o)c(c3=cc=cc=c3)n=c)c(=o)[o-])c,Metabolism and nutrition disorders,1
cc(c)ncc(c1=cc(=cc(=c1)o)o)o,Metabolism and nutrition disorders,1
cc1=cc(=o)cc2c1(c3ccc4(c(c3cc2)ccc4oc(=o)c)c)c,Metabolism and nutrition disorders,1
cn(c)c(=n)n=c(n)n,Metabolism and nutrition disorders,1
ccc(=o)c(cc(c)n(c)c)(c1=cc=cc=c1)c2=cc=cc=c2,Metabolism and nutrition disorders,1
coc1=cc=cc=c1occ(coc(=o)n)o,Metabolism and nutrition disorders,1
cn(cc1=cn=c2c(=n1)c(=nc(=n2)n)n)c3=cc=c(c=c3)c(=o)nc(ccc(=o)o)c(=o)o,Metabolism and nutrition disorders,1
cc(cc1=cc(=c(c=c1)o)o)(c(=o)o)n,Metabolism and nutrition disorders,1
ccc(co)nc(=o)c1cn(c2cc3=cnc4=cc=cc(=c34)c2=c1)c,Metabolism and nutrition disorders,0
coc(=o)c(c1ccccn1)c2=cc=cc=c2,Metabolism and nutrition disorders,1
cc1cc2c3ccc(c3(cc(c2c4(c1=cc(=o)c=c4)c)o)c)(c(=o)co)o,Metabolism and nutrition disorders,1
cc12ccc(=o)c=c1ccc3c2ccc4(c3ccc4(c)o)c,Metabolism and nutrition disorders,1
cc1c(c(cc(o1)oc2c(oc(cc2o)oc3c(oc(cc3o)oc4ccc5(c(c4)ccc6c5cc(c7(c6(ccc7c8=cc(=o)oc8)o)c)o)c)c)c)o)oc,Metabolism and nutrition disorders,0
ccn(cc)ccnc(=o)c1=cc(=c(c=c1oc)n)cl,Metabolism and nutrition disorders,1
cc1nc2=cc(=c(c=c2c(=o)n1c3=cc=cc=c3c)s(=o)(=o)n)cl,Metabolism and nutrition disorders,1
cc(c)ncc(coc1=cc=c(c=c1)ccoc)o,Metabolism and nutrition disorders,1
cc1=nc=c(n1cco)[n+](=o)[o-],Metabolism and nutrition disorders,1
cc1=c(c(=cc=c1)c)occ(c)n,Metabolism and nutrition disorders,1
cn1ccn2c(c1)c3=cc=cc=c3cc4=cc=cc=c42,Metabolism and nutrition disorders,1
c1=cc(=c(c=c1cl)cl)coc(cn2c=cn=c2)c3=c(c=c(c=c3)cl)cl,Metabolism and nutrition disorders,1
cc1=nc=c2n1c3=c(c=c(c=c3)cl)c(=nc2)c4=cc=cc=c4f,Metabolism and nutrition disorders,1
coc1=cc(=c(c=c1)oc)c(cnc(=o)cn)o,Metabolism and nutrition disorders,1
cc#cc1(ccc2c1(cc(c3=c4ccc(=o)c=c4ccc23)c5=cc=c(c=c5)n(c)c)c)o,Metabolism and nutrition disorders,1
cc1=c(c=c(c(=o)n1)c#n)c2=cc=nc=c2,Metabolism and nutrition disorders,1
cn(c)c1c2cc3cc4=c(c=cc(=c4c(=c3c(=o)c2(c(=o)c(=c(n)o)c1=o)o)o)o)n(c)c,Metabolism and nutrition disorders,1
c1ccn(cc1)c2=nc(=n)n(c(=c2)n)o,Metabolism and nutrition disorders,1
cn1ccn2c(c1)c3=cc=cc=c3cc4=c2n=cc=c4,Metabolism and nutrition disorders,1
c1=cc=c(c(=c1)c(c2=cc=c(c=c2)cl)c(cl)cl)cl,Metabolism and nutrition disorders,1
c1=cc(=c2c(=c1nccncco)c(=o)c3=c(c=cc(=c3c2=o)o)o)nccncco,Metabolism and nutrition disorders,1
c1=nc(=c(n1c2c(c(c(o2)co)o)o)o)c(=o)n,Metabolism and nutrition disorders,1
c1coccn1ccnc(=o)c2=cc=c(c=c2)cl,Metabolism and nutrition disorders,1
c1=cc=c(c=c1)c(c2=cc=cc=c2)s(=o)cc(=o)n,Metabolism and nutrition disorders,1
ccoc(=nc1=c[n+](=no1)n2ccocc2)[o-],Metabolism and nutrition disorders,1
cc1cc2c3ccc4=cc(=o)c=cc4(c3(c(cc2(c1(c(=o)ccl)oc(=o)c5=cc=co5)c)o)cl)c,Metabolism and nutrition disorders,1
cc(c)(c1=cc=cc=c1ccc(c2=cc=cc(=c2)c=cc3=nc4=c(c=cc(=c4)cl)c=c3)scc5(cc5)cc(=o)o)o,Metabolism and nutrition disorders,1
coc1(c2n(c1=o)c(=c(co2)csc3=nn=nn3cco)c(=o)o)nc(=o)csc(f)f,Metabolism and nutrition disorders,1
cn1ccc23c4c1cc5=c2c(=c(c=c5)o)oc3c(c=c4)o,Metabolism and nutrition disorders,1
coc1=c2c(=cc(=c1n3cc4cccnc4c3)f)c(=o)c(=cn2c5cc5)c(=o)o,Metabolism and nutrition disorders,1
cc(c1c(o1)cc2coc(c(c2o)o)cc(=cc(=o)occccccccc(=o)o)c)c(c)o,Metabolism and nutrition disorders,1
cc1=c(c(=c(c2=c1coc2=o)o)cc=c(c)ccc(=o)occn3ccocc3)oc,Metabolism and nutrition disorders,1
cc1=c(c(=c(c2=c1coc2=o)o)cc=c(c)ccc(=o)o)oc,Metabolism and nutrition disorders,1
cc(=o)ccc1=cc2=c(c=c1)c=c(c=c2)oc,Metabolism and nutrition disorders,1
cc(c)(c)ncc(coc1=cc=cc2=c1cc(c(c2)o)o)o,Metabolism and nutrition disorders,1
c1=cc(=cc=c1c(=o)oc2=cc3=c(c=c2)c=c(c=c3)c(=n)n)n=c(n)n,Metabolism and nutrition disorders,1
ccn(cc)ccoc(=o)c(cc1ccco1)cc2=cc=cc3=cc=cc=c32,Metabolism and nutrition disorders,1
coc1=cc=cc=c1n2ccn(cc2)cc(coc3=cc=cc4=cc=cc=c43)o,Metabolism and nutrition disorders,1
c1cc(c1)cn2ccc34c5c(ccc3(c2cc6=c4c(=c(c=c6)o)o5)o)o,Metabolism and nutrition disorders,1
c=ccn1ccc23c4c(=o)ccc2(c1cc5=c3c(=c(c=c5)o)o4)o,Metabolism and nutrition disorders,1
c1cc1cn2ccc34c5c(=o)ccc3(c2cc6=c4c(=c(c=c6)o)o5)o,Metabolism and nutrition disorders,1
cccccccccc(=o)oc1ccc2c1(ccc3c2ccc4=cc(=o)ccc34)c,Metabolism and nutrition disorders,1
cns(=o)(=o)ccc1=cc2=c(c=c1)nc=c2c3ccn(cc3)c,Metabolism and nutrition disorders,1
cn1c=c(c2=cc=cc=c21)c(=o)c3ccc4=c(c3)nc=n4,Metabolism and nutrition disorders,1
cc(c)c1ccc(cc1)c(=o)nc(cc2=cc=cc=c2)c(=o)o,Metabolism and nutrition disorders,1
ccc1=nn(c(=o)n1ccoc2=cc=cc=c2)cccn3ccn(cc3)c4=cc(=cc=c4)cl,Metabolism and nutrition disorders,1
cn1ccoc(c2=cc=cc=c2c1)c3=cc=cc=c3,Metabolism and nutrition disorders,1
cc1=c(c=cc=c1o)c(=o)nc(csc2=cc=cc=c2)c(cn3cc4ccccc4cc3c(=o)nc(c)(c)c)o,Metabolism and nutrition disorders,1
cn(c)c(=o)oc1=cc=cc(=c1)[n+](c)(c)c,Metabolism and nutrition disorders,1
cc1=c2c(=nc=c1)n(c3=c(c=cc=n3)c(=o)n2)c4cc4,Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c)c(=o)occ[nh+](c)cc2=cc=cc=c2)c3=cc(=cc=c3)[n+](=o)[o-])c(=o)oc,Metabolism and nutrition disorders,1
cn1cc(cc2(c1cc3=cn(c4=cc=cc2=c34)c)oc)coc(=o)c5=cc(=cn=c5)br,Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c)c(=o)oc)c2=cc=cc=c2[n+](=o)[o-])c(=o)oc,Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c#n)c(=o)oc)c2=cc(=cc=c2)[n+](=o)[o-])c(=o)oc(c)c,Metabolism and nutrition disorders,1
cs(=o)(=o)nc1=c(c=c(c=c1)[n+](=o)[o-])oc2=cc=cc=c2,Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c)c(=o)oc(c)c)c2=cc(=cc=c2)[n+](=o)[o-])c(=o)occoc,Metabolism and nutrition disorders,1
cc1=c(c(c(=c(n1)c)c(=o)occ(c)c)c2=cc=cc=c2[n+](=o)[o-])c(=o)oc,Metabolism and nutrition disorders,1
c1c(=o)nc2=c(c=c(c=c2)[n+](=o)[o-])c(=n1)c3=cc=cc=c3,Metabolism and nutrition disorders,1
ccoc(=o)c1=c(nc(=c(c1c2=cc(=cc=c2)[n+](=o)[o-])c(=o)oc)c)c,Metabolism and nutrition disorders,1
c1c(=o)nc(=o)n1n=cc2=cc=c(o2)[n+](=o)[o-],Metabolism and nutrition disorders,1
c(c(co[n+](=o)[o-])o[n+](=o)[o-])o[n+](=o)[o-],Metabolism and nutrition disorders,1
cnc(=c[n+](=o)[o-])nccscc1=csc(=n1)cn(c)c,Metabolism and nutrition disorders,1
cc12ccc3c(c1ccc2(c#c)o)ccc4=cc(=o)ccc34,Metabolism and nutrition disorders,1
ccn1c=c(c(=o)c2=cc(=c(c=c21)n3ccncc3)f)c(=o)o,Metabolism and nutrition disorders,1
ccc12ccc3c(c1ccc2(c#c)o)ccc4=cc(=o)ccc34,Metabolism and nutrition disorders,1
cnccc=c1c2=cc=cc=c2ccc3=cc=cc=c31,Metabolism and nutrition disorders,1
ccoc1=c(c=cc(=c1)cc(=o)nc(cc(c)c)c2=cc=cc=c2n3ccccc3)c(=o)o,Metabolism and nutrition disorders,1
cc1c=cc=cccc=cc=cc=cc=cc(cc2c(c(cc(o2)(cc(c(ccc(cc(cc(cc(=o)oc(c(c1o)c)c)o)o)o)o)o)o)o)c(=o)o)oc3c(c(c(c(o3)c)o)n)o,Metabolism and nutrition disorders,0
cc1coc2=c3n1c=c(c(=o)c3=cc(=c2n4ccn(cc4)c)f)c(=o)o,Metabolism and nutrition disorders,1
cc1=cc2=c(nc3=cc=cc=c3n=c2s1)n4ccn(cc4)c,Metabolism and nutrition disorders,1
cc1=cn=c(c(=c1oc)c)cs(=o)c2=nc3=c(n2)c=c(c=c3)oc,Metabolism and nutrition disorders,1
cc1=nc=cn1cc2ccc3=c(c2=o)c4=cc=cc=c4n3c,Metabolism and nutrition disorders,1
cccccccccccc(cc1c(c(=o)o1)cccccc)oc(=o)c(cc(c)c)nc=o,Metabolism and nutrition disorders,1
cc1=cc=cc=c1c(c2=cc=cc=c2)occn(c)c,Metabolism and nutrition disorders,1
ccc(cc)oc1c=c(cc(c1nc(=o)c)n)c(=o)occ,Metabolism and nutrition disorders,1
cc1=c(c(=no1)c2=cc=cc=c2)c(=o)nc3c4n(c3=o)c(c(s4)(c)c)c(=o)[o-],Metabolism and nutrition disorders,1
c1ccc(c(c1)[nh-])[nh-].c(=o)(c(=o)o)o.[pt+2],Metabolism and nutrition disorders,1
c1=cc=c(c=c1)c2=c(oc(=n2)ccc(=o)o)c3=cc=cc=c3,Metabolism and nutrition disorders,1
c1cn(ccn1cccn2c3=cc=cc=c3nc2=o)c(c4=cc=cc=c4)c5=cc=cc=c5,Metabolism and nutrition disorders,1
c1=cc=c(c=c1)c2=nc(c(=o)nc3=c2c=c(c=c3)cl)o,Metabolism and nutrition disorders,1
cc(c)(cc1=cc=cc=c1)n(c)c(=o)cn(cco)cc(=o)n(c)c(c)(c)cc2=cc=cc=c2,Metabolism and nutrition disorders,1
ccn(cc)cc#ccoc(=o)c(c1ccccc1)(c2=cc=cc=c2)o,Metabolism and nutrition disorders,1
cn1ccc23c4c(=o)ccc2(c1cc5=c3c(=c(c=c5)oc)o4)o,Metabolism and nutrition disorders,1
cc1=cc(=c(c(=c1cc2=nccn2)c)o)c(c)(c)c,Metabolism and nutrition disorders,1
cn1ccc23c4c(=o)ccc2(c1cc5=c3c(=c(c=c5)o)o4)o,Metabolism and nutrition disorders,1
cc1(c2c(c3c(c(=o)c(=c(n)o)c(=o)c3(c(=o)c2=c(c4=c1c=cc=c4o)o)o)n(c)c)o)o,Metabolism and nutrition disorders,1
